Ticker,Sector Code,Sector,IDX Sector,Sector Index,Subsector,Industry,Subindustry,Company Name,Source
APLN,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT Agung Podomoro Land Tbk.,IDX Live
ARCI,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Logam & Mineral,Emas,PT Archi Indonesia Tbk,IDX Live
AREA,I,Technology,Teknologi,IDXTECHNO,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,PT Dunia Virtual Online Tbk,IDX Live
ARGO,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Argo Pantes Tbk,IDX Live
ARII,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Atlas Resources Tbk,IDX Live
ARKA,C,Industrials,Perindustrian,IDXINDUST,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian,PT Arkha Jayanti Persada Tbk.,IDX Live
ARKO,J,Infrastructures,Infrastruktur,IDXINFRA,Utilitas,Utilitas Listrik,Utilitas Listrik,PT Arkora Hydro Tbk.,IDX Live
ARMY,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT Armidian Karyatama Tbk,IDX Live
ARNA,C,Industrials,Perindustrian,IDXINDUST,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Arwana Citramulia Tbk,IDX Live
ARTA,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Arthavest Tbk,IDX Live
ARTI,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",Ratu Prabu Energi Tbk,IDX Live
ARTO,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank Jago Tbk.,IDX Live
ASBI,G,Financials,Keuangan,IDXFINANCE,Asuransi,Asuransi,Asuransi Umum,Asuransi Bintang Tbk,IDX Live
ASDM,G,Financials,Keuangan,IDXFINANCE,Asuransi,Asuransi,Asuransi Umum,Asuransi Dayin Mitra Tbk,IDX Live
ASGR,C,Industrials,Perindustrian,IDXINDUST,Jasa Perindustrian,Jasa Komersial,Jasa Pendukung Bisnis,Astra Graphia Tbk,IDX Live
